Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:all 
Time Period: 2025-01-01 ~ 2025-12-31
Project:Ambient
Lab:all
Include QAQC Sampling: yes
Data was downloaded on March 19 2026 6:50 pm
The data contains the COMP code. 
For Help with COMP code, please check http://www.durhamwaterquality.org/COMPcode.php

Project,Lab Name,Station,Collection Date and Time,Rain in Last 24 Hours,Comp Code,Sample Collection,Air Temperature(C),Sky Condition,Flow Severity,Thalweg,Distance From Thalweg(m),Depth(m),QAQC Sample,Comments
"Ambient","SDWRF","LC1.1LC","2025-04-08 10:15:00","Yes","G","Direct Dip","11.7","Partly Cloudy","4","No","10","","","",
"Ambient","SDWRF","LC2.0RBC","2025-04-08 10:30:00","Yes","G","Direct Dip","11.2","Sunny","4","Yes","","","","",
"Ambient","SDWRF","SI1.6SIC","2025-04-08 10:55:00","Yes","G","Direct Dip","11.8","Partly Cloudy","4","No","20","","","",
"Ambient","SDWRF","TF6.5RCUT","2025-05-20 07:55:00","No","G","Direct Dip","18.1","Sunny","2","Yes","","","","",
"Ambient","SDWRF","TF4.4TC","2025-05-20 08:25:00","No","G","Direct Dip","15.5","Sunny","2","Yes","","","","",
"Ambient","SDWRF","TF5.1RC","2025-05-20 09:15:00","No","G","Direct Dip","17.3","Sunny","2","Yes","","","","",
"Ambient","SDWRF","TF3.4TC","2025-05-20 09:35:00","No","G","Direct Dip","17.2","Sunny","2","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-05-20 10:00:00","","","","","","","","","","","Site ID: TF1.0TC Plastic Bottle Lot# 240814A Filter Lot#G24105",
"Ambient","SDWRF","TF1.0TC","2025-05-20 10:10:00","No","G","Direct Dip","20","Sunny","2","Yes","","","","Duplicate Site.",
"Ambient","SDWRF","NE2.2NP","2025-05-20 10:40:00","No","G","Direct Dip","20.6","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NE1.2NE","2025-05-20 11:00:00","No","G","Direct Dip","19.9","Sunny","3","No","20","","","",
"Ambient","SDWRF","NE0.0NE","2025-05-20 11:30:00","No","G","Direct Dip","19.6","Sunny","2","Yes","","","","",
